city,state_id,state,county,lat,long,population,density,military,incorporated,capital,timezone,ranking,zips
Corpus Christi,TX,Texas,Nueces,27.726,-97.3755,342464,789,FALSE,TRUE,FALSE,America/Chicago,2,30
Fort Wayne,IN,Indiana,Allen,41.0886,-85.1437,334122,943,FALSE,TRUE,FALSE,America/Indiana/Indianapolis,2,39
Santa Ana,CA,California,Orange,33.7366,-117.8819,332318,4689,FALSE,TRUE,FALSE,America/Los_Angeles,2,10
Flint,MI,Michigan,Genesee,43.0235,-83.6922,332190,1103,FALSE,TRUE,FALSE,America/Detroit,2,12
Jackson,MS,Mississippi,Hinds,32.3163,-90.2124,325350,558,FALSE,TRUE,TRUE,America/Chicago,2,30
Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,324634,1605,FALSE,TRUE,FALSE,America/Los_Angeles,2,7
Lansing,MI,Michigan,Ingham,42.7142,-84.5601,324286,1164,FALSE,TRUE,TRUE,America/Detroit,2,18
San Juan,PR,Puerto Rico,San Juan,18.4037,-66.0636,323279,3157,FALSE,FALSE,FALSE,America/Puerto_Rico,2,34
Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,323152,439,FALSE,TRUE,FALSE,America/New_York,2,39
Ann Arbor,MI,Michigan,Washtenaw,42.2755,-83.7312,322267,1659,FALSE,TRUE,FALSE,America/Detroit,2,6
Henderson,NV,Nevada,Clark,36.0133,-115.038,320189,1165,FALSE,TRUE,FALSE,America/Los_Angeles,2,10
Huntsville,AL,Alabama,Madison,34.6988,-86.6412,319249,361,FALSE,TRUE,FALSE,America/Chicago,2,25
Mobile,AL,Alabama,Mobile,30.6783,-88.1162,315502,522,FALSE,TRUE,FALSE,America/Chicago,2,31
Fort Collins,CO,Colorado,Larimer,40.5478,-105.0656,312666,1149,FALSE,TRUE,FALSE,America/Denver,2,8
Asheville,NC,North Carolina,Buncombe,35.5704,-82.5536,312507,786,FALSE,TRUE,FALSE,America/New_York,2,10
Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,312446,1162,FALSE,TRUE,FALSE,America/Los_Angeles,2,10
